#     Q      Intensity(HW,HW)
  1.877500  1.039640e-03
  2.657500  1.454434e+00
  3.252500  2.752246e+00
  3.757500  1.875347e+00
  4.202500  2.148329e-02
  4.602500  1.311470e+00
  5.312500  1.922393e-01
  5.637500  8.696180e+00
  5.942500  5.570101e+00
  6.232500  2.539170e-01
  6.507500  3.162794e-02
  6.772500  1.451923e-02
  7.032500  2.643339e+00
  7.517500  1.530321e+00
  7.747500  5.028978e-01
  7.972500  8.520988e+00
  8.192500  1.803286e-01
  8.402500  1.634037e+00
  8.612500  9.943428e+00
  8.812500  2.369393e+00
  9.202500  2.122110e-01
  9.392500  1.906933e-02
  9.582500  4.168162e+00
  9.762500  6.353587e+00
 10.117500  4.642700e-01
 10.292500  2.938972e-01
 10.627500  1.478385e+00
 10.792500  1.147058e+01
 10.957500  7.253452e+00
 11.117500  5.947362e-01
 11.272500  3.462125e+00
 11.427500  1.521791e-02
 11.582500  1.377665e+00
 11.882500  2.203413e+00
 12.032500  1.990374e+00
 12.177500  4.957844e-01
 12.322500  1.676345e-01
 12.462500  3.249025e-01
