#     Q      Intensity(OW,HW)
  1.877500  2.851316e-05
  2.657500  3.223471e+00
  3.252500  -9.038571e-04
  3.757500  -2.584487e+00
  4.202500  -1.522379e-04
  4.602500  -4.186067e+00
  5.312500  7.052538e-01
  5.637500  -6.403064e-03
  5.942500  -7.517821e+00
  6.232500  -2.669721e-04
  6.507500  -6.181031e-02
  6.772500  6.119616e-04
  7.032500  7.601807e+00
  7.517500  -1.160250e+00
  7.747500  6.448752e-03
  7.972500  5.507611e+00
  8.192500  4.597488e-03
  8.402500  3.843477e+00
  8.612500  1.343812e-02
  8.812500  -4.107701e+00
  9.202500  -1.212436e+00
  9.392500  3.574348e-04
  9.582500  6.875525e+00
  9.762500  7.995601e-04
 10.117500  -7.704235e-03
 10.292500  -2.056139e+00
 10.627500  9.174575e-01
 10.792500  -5.462728e-03
 10.957500  -8.499123e+00
 11.117500  -7.196524e-03
 11.272500  -2.286330e-03
 11.427500  1.545348e-03
 11.582500  2.789736e+00
 11.882500  -3.633141e+00
 12.032500  -1.125893e-02
 12.177500  -2.355326e+00
 12.322500  -3.439484e-03
 12.462500  1.121995e+00
