#     Q      Intensity(OW,OW)
  1.877500  2.536704e-05
  2.657500  7.589297e+00
  3.252500  1.023750e-04
  3.757500  3.606464e+00
  4.202500  4.932429e-04
  4.602500  1.373138e+01
  5.312500  6.547005e+00
  5.637500  1.153442e-03
  5.942500  1.251149e+01
  6.232500  1.092197e-03
  6.507500  3.987974e+00
  6.772500  1.255438e-03
  7.032500  2.293641e+01
  7.517500  2.755035e+00
  7.747500  3.642750e-03
  7.972500  1.588222e+01
  8.192500  2.026608e-03
  8.402500  1.019478e+01
  8.612500  4.305331e-03
  8.812500  9.820410e+00
  9.202500  9.487087e+00
  9.392500  2.999597e-03
  9.582500  2.753657e+01
  9.762500  3.897194e-03
 10.117500  1.022746e-02
 10.292500  1.723986e+01
 10.627500  4.178977e+00
 10.792500  7.235105e-03
 10.957500  1.624420e+01
 11.117500  7.217161e-03
 11.272500  9.879832e+00
 11.427500  3.369740e-03
 11.582500  2.310967e+01
 11.882500  7.519257e+00
 12.032500  1.802164e-02
 12.177500  1.464687e+01
 12.322500  6.132468e-03
 12.462500  7.163353e+00
