# Energies for Configuration 'IceVII'.
# All values in kJ/mol.

# Iteration   Total         Inter         Bond          Angle         Torsion      Improper    Gradient      S?

           2  7.229273e+04  2.701101e+04  4.134018e+04  3.941547e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           3  5.003597e+04  1.493303e+04  2.965342e+04  5.449517e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           4  3.338253e+04  4.152140e+03  2.293422e+04  6.296175e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           5  2.072441e+04  -4.513777e+03  1.848598e+04  6.752208e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           2  6.865254e+04  2.141152e+04  4.351417e+04  3.726856e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           3  4.562496e+04  7.554629e+03  3.295689e+04  5.113432e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           4  2.791457e+04  -3.985350e+03  2.611121e+04  5.788712e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           5  1.374130e+04  -1.307678e+04  2.055706e+04  6.261021e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           6  2.840029e+03  -2.035737e+04  1.658411e+04  6.613294e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
        1001  -6.875290e+04  -8.248907e+04  7.957688e+03  5.778487e+03  0.000000e+00  0.000000e+00  -3.895896e+01  true
        1002  -6.893979e+04  -8.240192e+04  7.668792e+03  5.793338e+03  0.000000e+00  0.000000e+00  -6.285687e+01  true
        1003  -6.876451e+04  -8.281568e+04  8.137216e+03  5.913954e+03  0.000000e+00  0.000000e+00  -6.969844e+01  false
        1004  -6.866533e+04  -8.265587e+04  8.153296e+03  5.837248e+03  0.000000e+00  0.000000e+00  -6.427785e+01  true
        1005  -6.864885e+04  -8.274427e+04  8.295363e+03  5.800055e+03  0.000000e+00  0.000000e+00  -4.731766e+01  true
        1001  -6.875290e+04  -8.248907e+04  7.957688e+03  5.778487e+03  0.000000e+00  0.000000e+00  -3.895896e+01  true
        1002  -6.893979e+04  -8.240192e+04  7.668792e+03  5.793338e+03  0.000000e+00  0.000000e+00  -6.285687e+01  true
        1003  -6.876451e+04  -8.281568e+04  8.137216e+03  5.913954e+03  0.000000e+00  0.000000e+00  -6.969844e+01  false
        1004  -6.866533e+04  -8.265587e+04  8.153296e+03  5.837248e+03  0.000000e+00  0.000000e+00  -6.427785e+01  true
        1005  -6.864885e+04  -8.274427e+04  8.295363e+03  5.800055e+03  0.000000e+00  0.000000e+00  -4.731766e+01  true
        1006  -6.853408e+04  -8.272435e+04  8.450539e+03  5.739730e+03  0.000000e+00  0.000000e+00  -2.076326e+01  true
        1007  -6.856605e+04  -8.255546e+04  8.369208e+03  5.620201e+03  0.000000e+00  0.000000e+00  -6.518294e+00  true
        1008  -6.826096e+04  -8.219451e+04  8.387646e+03  5.545899e+03  0.000000e+00  0.000000e+00  2.477339e+01  true
        1009  -6.833127e+04  -8.218971e+04  8.229560e+03  5.628876e+03  0.000000e+00  0.000000e+00  4.835197e+01  true
        1010  -6.845629e+04  -8.223526e+04  8.055796e+03  5.723173e+03  0.000000e+00  0.000000e+00  5.975393e+01  true
        1011  -6.864836e+04  -8.229796e+04  7.869640e+03  5.779956e+03  0.000000e+00  0.000000e+00  4.595356e+01  true
        1012  -6.868554e+04  -8.246316e+04  8.012709e+03  5.764909e+03  0.000000e+00  0.000000e+00  1.639894e+01  true
        1013  -6.858503e+04  -8.236682e+04  7.894093e+03  5.887695e+03  0.000000e+00  0.000000e+00  9.296274e-01  true
        1014  -6.852248e+04  -8.251542e+04  8.032712e+03  5.960230e+03  0.000000e+00  0.000000e+00  -6.690990e+00  true
        1015  -6.843561e+04  -8.200767e+04  7.845139e+03  5.726926e+03  0.000000e+00  0.000000e+00  -1.020591e+01  true
        1016  -6.830393e+04  -8.207812e+04  8.052736e+03  5.721458e+03  0.000000e+00  0.000000e+00  -1.471774e+00  true
        1017  -6.840978e+04  -8.220806e+04  8.093752e+03  5.704533e+03  0.000000e+00  0.000000e+00  -3.432325e+00  true
