# Energies for Configuration 'Bulk'.
# All values in kJ/mol.

# Iteration   Total         Inter         Bond          Angle         Torsion      Improper    Gradient      S?

        1001  9.148688e+11  9.148688e+11  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  4.990194e+10  false
        1002  1.691966e+11  1.691965e+11  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  4.804153e+10  false
        1003  1.296023e+11  1.296023e+11  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  4.197056e+10  false
        1004  1.620776e+09  1.620717e+09  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  2.734784e+10  false
        1005  3.299368e+06  3.240289e+06  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  1.261725e+10  false
        1006  1.331417e+06  1.272338e+06  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.113487e+09  false
        1007  7.379447e+05  6.788658e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.684427e+10  false
        1008  4.778408e+05  4.187619e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.157508e+10  false
        1009  2.500006e+05  1.909217e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.630591e+10  false
        1010  1.851574e+05  1.260785e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.103675e+10  false
        1011  1.507493e+05  9.167036e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.477633e+10  false
        1012  1.162450e+05  5.716612e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -7.138080e+09  false
        1013  9.942804e+04  4.034914e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -8.858277e+07  false
        1014  8.828064e+04  2.920173e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.525959e+05  false
        1015  8.231422e+04  2.323532e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.098019e+05  false
        1016  7.584961e+04  1.677071e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.956263e+04  false
        1017  7.086219e+04  1.178329e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.394123e+04  false
           1  3.425133e+11  3.425132e+11  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           2  2.967628e+10  2.967622e+10  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           3  5.174097e+08  5.173506e+08  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           4  1.945461e+08  1.944870e+08  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           5  1.007256e+08  1.006665e+08  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           6  5.483448e+06  5.424369e+06  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           7  5.191957e+05  4.601168e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           8  2.759795e+05  2.169006e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
           9  1.797876e+05  1.207087e+05  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  0.000000e+00  false
          10  1.397773e+05  8.069845e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.996130e+10  false
          11  1.141489e+05  5.507002e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.648391e+09  false
          12  9.662764e+04  3.754874e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.961167e+07  false
          13  8.856773e+04  2.948883e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.504607e+07  false
          14  8.324757e+04  2.416867e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.734447e+06  false
          15  7.709701e+04  1.801810e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.207331e+05  false
          16  7.213490e+04  1.305600e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.678530e+04  false
          17  6.885029e+04  9.771388e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.837514e+04  false
          18  6.589414e+04  6.815235e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.088190e+04  false
          19  6.313274e+04  4.053837e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -7.405580e+03  false
          20  6.051511e+04  1.436213e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.325397e+03  false
          21  5.853273e+04  -5.461727e+02  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.101151e+03  false
          22  5.699331e+04  -2.085588e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.454823e+03  false
          23  5.576058e+04  -3.318324e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.932646e+03  false
          24  5.466544e+04  -4.413464e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.427219e+03  false
          25  5.364040e+04  -5.438501e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.041290e+03  false
          26  5.307952e+04  -5.999376e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.732440e+03  false
          27  5.217933e+04  -6.899573e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.460691e+03  false
          28  5.151379e+04  -7.565111e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.220248e+03  false
          29  5.085083e+04  -8.228067e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.025753e+03  false
          30  5.007667e+04  -9.002231e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -8.991213e+02  false
          31  4.985769e+04  -9.221210e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -7.900665e+02  false
          32  4.922611e+04  -9.852796e+03  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -7.129377e+02  false
          33  4.863831e+04  -1.044059e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.559048e+02  false
          34  4.805261e+04  -1.102629e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.174978e+02  false
          35  4.768655e+04  -1.139235e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.872382e+02  false
          36  4.755773e+04  -1.152117e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.292289e+02  false
          37  4.704464e+04  -1.203426e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.922886e+02  false
          38  4.665623e+04  -1.242267e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.586649e+02  false
          39  4.632594e+04  -1.275296e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.283751e+02  false
          40  4.590745e+04  -1.317145e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.176753e+02  false
          41  4.581098e+04  -1.326792e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.763004e+02  false
          42  4.569219e+04  -1.338671e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.344594e+02  false
          43  4.540682e+04  -1.367208e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.045354e+02  false
          44  4.519091e+04  -1.388799e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.862649e+02  false
          45  4.492937e+04  -1.414953e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.719770e+02  false
          46  4.484104e+04  -1.423786e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.376748e+02  false
          47  4.458945e+04  -1.448945e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.183719e+02  false
          48  4.437792e+04  -1.470098e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -2.067410e+02  false
          49  4.423415e+04  -1.484475e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.973561e+02  false
          50  4.416388e+04  -1.491502e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.943480e+02  false
          51  4.403595e+04  -1.504295e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.836154e+02  false
          52  4.394125e+04  -1.513765e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.644518e+02  false
          53  4.372865e+04  -1.535025e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.546857e+02  false
          54  4.352602e+04  -1.555288e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.500245e+02  false
          55  4.330900e+04  -1.576990e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.544564e+02  false
          56  4.323850e+04  -1.584040e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.489818e+02  false
          57  4.308239e+04  -1.599652e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.493704e+02  false
          58  4.289905e+04  -1.617985e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.555936e+02  false
          59  4.273126e+04  -1.634764e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.626279e+02  false
          60  4.257814e+04  -1.650076e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.644821e+02  false
          61  4.259338e+04  -1.648552e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.548130e+02  false
          62  4.254240e+04  -1.653650e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.367522e+02  false
          63  4.234732e+04  -1.673158e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.265493e+02  false
          64  4.224781e+04  -1.683109e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.185393e+02  false
          65  4.210112e+04  -1.697778e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.175056e+02  false
          66  4.204777e+04  -1.703113e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.094406e+02  false
          67  4.198205e+04  -1.709685e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -1.009352e+02  false
          68  4.190592e+04  -1.717298e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.546747e+01  false
          69  4.180108e+04  -1.727782e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.486599e+01  false
          70  4.175121e+04  -1.732769e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.591777e+01  false
          71  4.181400e+04  -1.726490e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -8.250552e+01  false
          72  4.181962e+04  -1.725928e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.273834e+01  false
          73  4.164797e+04  -1.743093e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.657770e+01  false
          74  4.159955e+04  -1.747935e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.121532e+01  false
          75  4.154550e+04  -1.753340e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.072276e+01  false
          76  4.153949e+04  -1.753942e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.738012e+01  false
          77  4.139008e+04  -1.768882e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.040718e+01  false
          78  4.128678e+04  -1.779212e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.696913e+01  false
          79  4.116019e+04  -1.791871e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.992063e+01  false
          80  4.105599e+04  -1.802291e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -8.411205e+01  false
          81  4.096362e+04  -1.811528e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.072896e+01  false
          82  4.088051e+04  -1.819839e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.119678e+01  false
          83  4.089383e+04  -1.818507e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.099778e+01  false
          84  4.069985e+04  -1.837905e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.546677e+01  false
          85  4.067996e+04  -1.839894e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -9.371813e+01  false
          86  4.068373e+04  -1.839518e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -8.167398e+01  false
          87  4.069011e+04  -1.838879e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.886900e+01  false
          88  4.062634e+04  -1.845256e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.794465e+01  false
          89  4.056999e+04  -1.850892e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.052844e+01  false
          90  4.053478e+04  -1.854412e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.482515e+01  false
          91  4.051306e+04  -1.856584e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.014671e+01  true
          92  4.035675e+04  -1.872215e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.407370e+01  false
          93  4.028062e+04  -1.879828e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.491664e+01  false
          94  4.021138e+04  -1.886752e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.503543e+01  false
          95  4.016194e+04  -1.891696e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.325566e+01  false
          96  4.011645e+04  -1.896245e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.742740e+01  false
          97  4.009322e+04  -1.898568e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.556459e+01  false
          98  4.000634e+04  -1.907256e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.545716e+01  false
          99  3.997799e+04  -1.910091e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.313776e+01  false
         100  3.994355e+04  -1.913535e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.786804e+01  false
         101  3.989322e+04  -1.918568e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.962538e+01  false
         102  3.986650e+04  -1.921240e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.574755e+01  false
         103  3.974569e+04  -1.933321e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.759263e+01  false
         104  3.971543e+04  -1.936347e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.922010e+01  false
         105  3.964449e+04  -1.943441e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.200114e+01  false
         106  3.957785e+04  -1.950105e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.517807e+01  false
         107  3.955335e+04  -1.952555e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.471128e+01  false
         108  3.946088e+04  -1.961802e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.853672e+01  false
         109  3.943685e+04  -1.964205e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.895102e+01  false
         110  3.933989e+04  -1.973901e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -6.039070e+01  false
         111  3.932107e+04  -1.975783e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.889553e+01  false
         112  3.932287e+04  -1.975603e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.214806e+01  false
         113  3.922024e+04  -1.985866e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.246317e+01  false
         114  3.912046e+04  -1.995844e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.386875e+01  false
         115  3.911404e+04  -1.996486e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.314201e+01  false
         116  3.908826e+04  -1.999064e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -5.183484e+01  false
         117  3.909094e+04  -1.998796e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.608026e+01  false
         118  3.908994e+04  -1.998896e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -4.093982e+01  false
         119  3.910922e+04  -1.996968e+04  5.676671e+04  2.312196e+03  0.000000e+00  0.000000e+00  -3.185356e+01  true
         120  -3.444406e+04  -3.730214e+04  1.808249e+03  1.049825e+03  0.000000e+00  0.000000e+00  -4.037258e+03  false
         121  -3.433564e+04  -3.719372e+04  1.808249e+03  1.049825e+03  0.000000e+00  0.000000e+00  -7.143652e+03  false
        1001  -3.832180e+04  -4.528750e+04  4.211752e+03  2.753950e+03  0.000000e+00  0.000000e+00  -1.007235e+01  true
        1001  -3.832180e+04  -4.528750e+04  4.211752e+03  2.753950e+03  0.000000e+00  0.000000e+00  -1.007235e+01  true
